"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"peak1874",404,312,232,110,81,36,306,238,200,121,66,49
"peak1875",740,638,434,218,131,34,631,455,431,223,124,30
"peak1876",165,73,36,18,11,5,109,52,23,19,20,16
"peak1877",100,86,60,17,32,6,72,51,41,32,37,28
"peak1878",51,55,45,68,146,316,33,39,46,69,154,388
"peak1879",44,43,68,98,259,416,29,28,57,91,218,674
"peak1880",224,172,74,28,10,22,180,110,55,27,19,18
"peak1881",38,46,53,73,129,18,34,29,39,64,142,32
"peak1882",19,29,56,44,206,192,19,22,40,54,132,141
"peak1883",392,291,162,93,40,14,348,201,150,74,47,25
"peak1884",751,704,667,382,382,143,711,576,503,378,315,133
"peak1885",487,477,415,291,378,236,404,301,303,332,391,245
"peak1886",685,774,681,579,761,458,624,637,634,569,680,416
"peak1887",170,132,87,41,47,22,141,89,63,25,35,28
"peak1888",37,25,34,54,117,212,13,30,27,41,89,173
"peak1889",170,113,83,31,23,9,119,87,60,26,30,18
"peak1890",297,288,157,39,33,23,296,236,149,69,25,27
"peak1891",613,606,262,92,40,44,581,409,254,79,40,35
"peak1892",232,193,155,136,249,423,262,179,144,136,218,623
"peak1893",16,49,86,156,195,176,25,54,89,121,169,226
"peak1894",143,126,52,33,28,10,124,87,66,25,23,15
"peak1895",32,24,30,49,86,202,26,24,29,38,61,298
"peak1896",462,444,269,118,65,34,448,340,222,138,51,51
"peak1897",118,102,116,104,216,311,109,82,73,108,224,290
"peak1898",91,91,93,72,124,228,80,65,80,76,113,312
"peak1899",843,798,704,555,693,543,814,649,662,569,756,605
"peak1900",448,380,285,75,29,18,371,282,216,89,30,19
"peak1901",126,88,95,155,249,264,113,95,70,143,240,316
"peak1902",375,231,110,43,18,16,285,174,98,23,13,18
"peak1903",176,80,32,33,16,18,126,67,41,15,20,28
"peak1904",316,285,155,91,23,6,299,251,150,72,43,8
"peak1905",1865,1421,729,176,52,28,1622,1102,644,204,40,34
"peak1906",373,301,203,80,32,10,327,238,145,82,30,22
"peak1907",649,416,237,67,27,31,616,412,159,67,23,29
"peak1908",1931,1819,1692,1523,1867,1528,1681,1465,1479,1485,1735,1399
"peak1909",339,267,210,128,132,74,275,188,181,134,111,98
"peak1910",471,324,125,31,32,23,352,195,123,64,39,21
"peak1911",302,218,86,29,11,15,258,191,58,46,19,10
"peak1912",997,864,614,265,100,52,953,673,517,252,115,33
"peak1913",60,55,38,68,161,260,37,50,62,73,146,287
"peak1914",425,284,165,57,43,68,324,139,103,85,54,70
"peak1915",164,109,56,15,6,11,113,55,33,17,16,11
"peak1916",300,229,155,80,69,34,282,169,132,84,63,23
"peak1917",1777,1598,1579,1218,1720,1249,1520,1317,1316,1157,1474,1048
"peak1918",318,210,92,34,38,15,305,169,102,48,30,17
"peak1919",82,61,71,52,107,139,55,46,54,61,114,209
"peak1920",80,83,59,64,150,261,71,78,46,65,165,389
"peak1921",1649,1329,989,651,621,167,1455,915,827,670,556,189
"peak1922",485,348,206,78,52,19,405,231,179,98,51,11
"peak1923",81,66,97,106,149,190,70,69,77,102,118,201
"peak1924",1307,1439,1586,1282,1877,1598,1253,1202,1199,1201,1633,1436
"peak1925",181,148,88,63,39,43,141,116,85,39,37,30
"peak1926",29,52,34,39,82,103,25,21,48,34,69,138
"peak1927",152,92,64,31,29,10,107,89,42,42,20,12
"peak1928",562,340,160,75,38,25,435,273,132,76,20,48
"peak1929",163,123,94,37,20,11,194,77,78,43,21,9
"peak1930",228,216,182,146,197,182,194,144,175,144,220,192
"peak1931",153,129,70,47,38,20,127,81,83,45,29,25
"peak1932",297,281,181,76,48,24,321,215,136,58,44,14
"peak1933",194,211,227,169,142,35,172,171,151,147,105,26
"peak1934",67,68,65,65,127,191,53,40,36,75,98,191
"peak1935",359,287,70,62,61,21,338,214,123,73,36,26
"peak1936",233,226,123,57,20,20,200,115,130,62,13,22
"peak1937",28,36,27,16,68,133,23,19,24,29,84,167
"peak1938",206,201,174,107,123,101,234,146,123,88,101,76
"peak1939",145,117,66,37,25,17,132,70,66,51,28,13
"peak1940",259,286,187,80,50,18,228,198,180,102,49,22
"peak1941",177,144,80,34,22,15,137,92,75,44,16,28
"peak1942",186,193,91,29,30,13,179,117,104,42,28,24
"peak1943",481,433,232,133,110,58,528,340,236,136,105,49
"peak1944",230,189,101,43,26,14,178,145,79,44,15,9
"peak1945",31,44,20,40,29,125,26,27,25,23,46,132
"peak1946",27,50,74,105,148,199,43,37,57,111,144,277
"peak1947",50,42,52,76,122,217,49,51,33,51,84,406
"peak1948",45,50,64,81,141,211,38,88,74,100,135,298
"peak1949",193,118,76,46,22,20,154,67,52,35,33,38
"peak1950",139,109,38,13,8,7,90,94,45,19,21,8
"peak1951",135,105,111,76,79,96,116,92,74,80,96,120
"peak1952",114,71,76,30,22,9,103,72,45,31,14,12
"peak1953",883,700,311,123,129,138,1023,663,351,114,143,208
"peak1954",262,141,55,23,17,23,216,90,66,26,16,21
"peak1955",228,194,103,31,10,16,181,124,69,41,22,10
"peak1956",194,105,59,21,26,8,174,108,53,29,12,8
"peak1957",106,84,36,22,29,19,90,60,46,29,23,24
"peak1958",337,188,90,43,37,26,238,92,65,49,20,26
"peak1959",608,441,384,255,257,180,496,378,330,280,287,158
"peak1960",163,118,53,19,25,19,153,98,60,28,41,14
"peak1961",134,92,67,40,17,7,109,40,43,27,15,13
"peak1962",140,86,45,48,41,46,99,76,52,40,30,35
"peak1963",45,22,32,47,74,101,34,30,28,55,76,129
"peak1964",536,329,184,123,145,119,462,280,158,134,181,175
"peak1965",72,58,33,23,30,15,67,52,22,21,18,29
"peak1966",77,63,166,169,219,170,87,87,97,166,191,236
"peak1967",44,51,44,81,157,160,45,31,24,87,136,175
"peak1968",66,57,43,38,147,119,61,33,37,55,104,138
"peak1969",72,71,25,28,19,8,72,24,31,18,10,11
"peak1970",491,425,292,172,154,50,425,328,333,181,154,22
"peak1971",39,48,35,54,89,189,41,19,28,54,136,305
"peak1972",738,632,505,303,359,249,594,456,480,354,362,285
"peak1973",812,623,404,210,203,107,671,534,398,229,139,67
"peak1974",450,327,226,110,94,33,304,244,165,105,81,61
"peak1975",2378,2328,1989,1570,1890,1823,2087,1729,1749,1432,1843,1732
"peak1976",138,128,116,62,47,9,86,112,94,58,34,16
"peak1977",153,82,35,23,24,13,104,72,53,18,15,22
"peak1978",444,363,196,81,48,22,383,229,192,77,42,19
"peak1979",502,255,99,36,23,22,375,154,75,25,15,24
"peak1980",318,256,135,31,28,23,310,285,130,44,25,23
"peak1981",386,293,140,29,38,25,358,213,124,44,19,43
"peak1982",212,153,69,25,29,14,220,136,68,37,17,11
"peak1983",193,116,61,9,15,18,146,89,71,33,18,17
"peak1984",836,836,408,138,101,87,885,750,381,141,165,85
"peak1985",24,27,27,27,43,103,17,16,21,26,35,130
"peak1986",17,42,54,69,157,139,26,29,50,48,92,193
"peak1987",204,169,104,46,71,49,180,154,105,56,59,68
"peak1988",1194,1514,1692,1550,2196,1737,1340,1282,1454,1575,2064,1679
"peak1989",672,683,412,175,107,45,635,436,340,183,80,65
"peak1990",396,372,296,140,78,45,418,318,274,171,104,51
"peak1991",214,140,78,17,19,22,193,105,85,27,8,22
"peak1992",428,262,118,55,63,104,280,185,146,53,61,160
"peak1993",398,239,150,77,149,298,299,184,165,88,150,388
"peak1994",611,406,141,58,31,20,523,284,153,42,38,34
"peak1995",1001,918,521,376,503,515,930,623,558,388,524,555
"peak1996",91,46,68,67,75,134,92,60,69,51,122,188
"peak1997",128,119,86,32,12,10,92,86,69,45,17,19
"peak1998",152,174,128,70,50,19,180,134,120,83,39,24
"peak1999",153,108,42,16,10,18,151,69,51,28,11,11
"peak2000",203,116,53,13,18,11,145,134,57,21,36,27
"peak2001",59,35,44,37,42,128,40,33,19,21,60,219
"peak2002",92,66,41,22,40,26,70,47,37,38,35,46
"peak2003",418,322,135,75,27,20,348,259,170,41,32,18
"peak2004",1487,1572,1172,428,217,119,1502,1383,1017,547,243,78
"peak2005",33,39,46,41,100,140,19,23,44,38,63,200
"peak2006",380,509,502,371,603,800,411,383,430,436,627,919
"peak2007",1126,1177,881,550,602,207,1148,982,783,612,560,266
"peak2008",63,88,111,127,212,231,69,61,100,106,171,240
"peak2009",686,713,688,577,748,469,583,587,525,591,642,497
"peak2010",384,324,217,201,224,160,320,300,262,205,272,198
"peak2011",35,41,38,23,46,114,37,47,39,36,51,190
"peak2012",1222,1272,906,504,520,432,1312,1127,819,533,549,580
"peak2013",595,715,522,449,513,402,603,539,498,503,515,513
"peak2014",285,218,83,34,10,8,234,119,65,22,20,18
"peak2015",27,31,70,109,90,138,11,9,36,70,118,198
"peak2016",122,155,137,111,57,24,128,159,111,85,66,17
"peak2017",45,37,65,90,73,110,32,30,21,80,93,226
"peak2018",22,24,28,48,170,262,19,21,35,40,176,300
"peak2019",212,171,106,88,111,188,195,132,111,71,103,194
"peak2020",480,424,256,156,116,39,453,342,263,159,103,55
"peak2021",17,18,23,22,41,124,25,21,16,26,36,212
"peak2022",15,27,39,52,125,88,9,5,21,46,92,128
"peak2023",239,132,47,19,9,14,176,80,52,12,18,14
"peak2024",934,999,616,291,216,368,913,743,634,304,263,468
"peak2025",222,298,369,424,719,587,189,224,338,440,726,571
"peak2026",187,107,105,56,73,18,151,90,85,60,71,21
"peak2027",964,502,206,80,55,42,896,449,190,73,54,56
"peak2028",490,235,101,51,48,10,336,191,125,66,52,21
"peak2029",434,320,192,150,114,68,398,232,190,170,108,53
"peak2030",48,17,34,76,108,579,34,40,31,55,83,640
"peak2031",20,20,18,24,45,132,28,25,9,15,30,145
"peak2032",127,83,34,10,23,9,104,62,32,21,7,14
"peak2033",116,78,68,30,32,23,86,64,42,32,27,22
"peak2034",86,83,79,58,98,183,88,69,50,61,110,217
"peak2035",317,228,127,31,17,14,246,199,125,36,15,20
"peak2036",149,88,40,20,16,8,122,56,37,15,32,15
"peak2037",503,466,391,294,246,50,389,309,329,322,223,47
"peak2038",226,140,133,40,37,8,176,137,98,46,35,19
"peak2039",457,403,254,155,137,63,424,324,238,175,157,50
"peak2040",98,81,107,115,136,171,95,53,97,124,101,205
"peak2041",673,579,300,100,34,21,588,414,312,116,45,41
"peak2042",320,151,75,38,26,20,279,127,72,30,23,26
"peak2043",451,529,503,283,240,82,475,391,384,306,210,58
"peak2044",230,246,214,83,73,21,279,221,183,122,49,32
"peak2045",519,486,258,113,78,23,645,397,254,105,98,27
"peak2046",414,332,227,97,73,31,417,347,223,125,96,38
"peak2047",79,144,192,227,324,195,83,112,161,282,312,223
"peak2048",499,388,284,53,47,17,391,326,229,81,35,22
"peak2049",452,434,427,347,370,221,376,397,335,297,369,264
"peak2050",162,116,75,35,44,17,141,94,69,45,40,16
"peak2051",100,63,84,51,116,289,88,71,69,50,100,367
"peak2052",33,39,42,42,94,118,26,12,38,41,77,137
"peak2053",4,12,13,10,33,78,13,12,10,14,29,117
"peak2054",13,11,13,25,40,95,6,5,12,30,42,155
"peak2055",355,381,316,253,272,221,360,285,289,295,256,213
"peak2056",71,91,99,121,333,429,69,74,75,129,305,599
"peak2057",247,105,51,10,20,9,120,74,55,22,7,20
"peak2058",539,418,187,86,67,35,355,260,207,106,71,55
"peak2059",2911,2926,2762,2354,3413,2768,2475,2437,2379,2172,3035,2371
"peak2060",219,179,129,54,32,23,204,164,98,41,46,25
"peak2061",24,28,32,52,91,167,43,37,22,32,100,178
"peak2062",1071,1225,1355,1202,1533,1299,963,1078,1064,1213,1477,1242
"peak2063",221,142,88,44,33,27,197,120,85,30,34,42
"peak2064",411,449,481,359,440,301,442,364,386,417,396,318
"peak2065",795,652,363,139,115,35,581,427,303,167,131,34
"peak2066",339,298,169,98,78,33,316,251,135,116,60,48
"peak2067",193,138,89,38,42,23,139,113,68,39,32,19
"peak2068",49,54,64,73,141,175,57,48,71,86,118,206
"peak2069",466,391,370,216,205,153,367,311,270,196,215,181
"peak2070",51,54,40,24,46,105,53,36,46,38,50,182
"peak2071",364,301,172,58,26,19,281,223,127,78,19,21
"peak2072",605,431,255,120,116,81,515,365,272,184,124,61
"peak2073",305,269,169,63,47,28,253,188,127,65,50,33
"peak2074",312,173,59,17,7,11,228,132,69,23,7,16
"peak2075",29,13,19,16,45,205,25,21,18,22,44,305
"peak2076",178,138,89,50,35,25,155,109,86,40,30,12
"peak2077",233,176,81,22,32,15,200,82,69,40,28,43
"peak2078",236,212,167,89,127,97,224,161,135,127,120,135
"peak2079",108,108,111,151,224,335,102,85,98,133,244,384
"peak2080",1437,1463,1414,1190,1626,1193,1393,1173,1162,1081,1430,1134
"peak2081",28,52,68,76,87,159,40,29,48,79,103,284
"peak2082",158,119,62,18,11,20,174,149,82,23,13,17
"peak2083",3669,3941,4651,4645,5951,4441,3525,3685,3941,4751,5500,3860
"peak2084",940,622,449,141,70,70,616,500,396,142,70,89
"peak2085",104,96,59,39,37,32,93,60,47,39,36,23
"peak2086",775,699,411,154,89,48,706,529,342,178,85,77
"peak2087",824,604,356,109,78,21,656,433,327,120,62,20
"peak2088",159,190,292,285,424,328,167,162,267,294,452,388
"peak2089",113,82,102,94,138,183,60,70,88,108,135,205
"peak2090",1204,1030,590,286,282,116,1065,767,596,373,233,133
"peak2091",1519,1199,724,278,274,53,1272,860,668,339,294,69
"peak2092",432,306,204,102,74,36,304,229,175,95,80,53
"peak2093",251,180,90,61,56,30,157,120,104,55,51,22
"peak2094",542,353,190,66,84,58,442,246,190,73,50,50
"peak2095",99,143,102,61,55,25,120,78,109,79,49,18
"peak2096",312,275,143,68,136,288,214,166,97,108,135,394
"peak2097",66,80,109,24,13,11,87,61,61,52,14,15
"peak2098",330,235,165,67,45,21,232,190,150,64,27,25
"peak2099",69,92,120,168,284,89,64,51,85,143,267,73
"peak2100",117,184,297,351,333,79,136,147,235,250,304,76
"peak2101",64,40,43,65,85,113,50,58,29,61,67,140
"peak2102",382,219,133,44,10,7,306,140,108,35,11,15
"peak2103",8,10,133,68,118,99,19,125,10,146,114,97
"peak2104",173,160,60,31,26,14,203,89,61,30,13,15
"peak2105",238,234,151,82,72,28,264,173,136,75,61,24
"peak2106",473,476,277,70,42,21,534,424,255,103,50,12
"peak2107",815,838,708,519,415,124,753,718,531,557,419,112
"peak2108",580,423,146,40,28,9,469,274,145,39,20,35
"peak2109",539,600,532,469,572,468,539,498,493,466,538,556
"peak2110",216,152,62,24,21,4,165,95,66,19,10,18
"peak2111",53,57,60,34,88,115,80,46,45,39,54,140
"peak2112",1168,1037,619,296,203,96,1010,755,540,260,179,86
"peak2113",177,139,71,23,14,7,144,98,73,28,15,16
"peak2114",45,58,47,34,50,105,80,63,27,26,44,82
"peak2115",492,235,134,43,7,16,336,167,112,32,7,10
"peak2116",1993,2051,2029,1715,2274,1774,1739,1673,1621,1587,2087,1656
"peak2117",26,28,44,37,92,119,13,17,30,36,67,143
"peak2118",105,86,65,54,54,48,92,67,36,44,34,55
"peak2119",77,41,30,9,22,19,65,28,22,24,12,15
"peak2120",257,170,96,41,30,23,231,130,87,39,37,19
"peak2121",264,193,141,88,52,29,253,199,142,83,64,30
"peak2122",171,146,132,133,281,309,158,97,104,168,282,423
"peak2123",219,175,51,24,23,15,198,126,75,21,13,14
"peak2124",57,63,84,66,127,152,69,45,77,59,125,195
"peak2125",146,160,153,129,172,243,149,130,135,130,186,254
"peak2126",23,16,27,27,47,101,22,18,15,21,65,189
"peak2127",53,40,32,51,192,445,37,26,30,74,154,448
"peak2128",18,73,96,113,179,59,32,41,69,115,159,60
"peak2129",3,14,32,33,67,39,4,10,28,50,59,21
"peak2130",100,73,97,41,144,170,77,58,61,45,110,229
"peak2131",139,124,107,97,190,350,116,66,78,111,222,500
"peak2132",200,102,76,8,7,14,137,84,53,11,19,6
"peak2133",138,85,44,14,12,10,119,68,27,21,12,10
"peak2134",343,278,175,80,48,34,253,245,158,112,53,41
"peak2135",1089,1030,875,697,864,843,847,768,706,666,841,812
"peak2136",40,20,46,38,90,160,39,36,31,60,77,248
"peak2137",121,123,53,38,19,7,105,70,53,29,22,6
"peak2138",88,110,153,122,179,228,92,98,91,138,158,206
"peak2139",580,439,282,100,85,18,450,332,225,136,59,28
"peak2140",478,343,204,117,57,14,320,232,177,86,53,24
"peak2141",1784,1813,1515,1293,1641,1125,1444,1339,1232,1198,1399,1124
"peak2142",459,367,228,107,109,23,387,268,216,160,102,26
"peak2143",561,409,242,52,29,15,468,335,208,75,17,17
"peak2144",207,194,129,83,105,86,185,126,100,97,88,97
"peak2145",152,103,38,24,8,8,115,58,26,14,16,11
"peak2146",129,61,40,17,14,19,104,48,30,16,4,22
"peak2147",1076,776,441,92,40,29,915,696,421,133,39,44
"peak2148",108,120,60,21,7,17,92,64,52,25,23,18
"peak2149",1897,1776,1545,1192,1632,1063,1622,1393,1308,1151,1478,885
"peak2150",716,585,415,241,270,231,556,466,357,267,292,292
"peak2151",802,766,752,528,881,832,658,580,530,618,859,769
"peak2152",423,297,235,149,110,41,367,286,160,150,111,16
"peak2153",431,329,170,61,30,41,332,283,180,71,49,68
"peak2154",233,220,103,71,36,36,247,169,125,71,29,73
"peak2155",213,139,123,64,26,29,188,164,88,39,22,14
"peak2156",34,41,58,65,112,159,34,26,40,79,109,172
"peak2157",321,317,152,31,22,13,278,205,119,39,11,14
"peak2158",408,345,285,163,233,380,378,233,214,184,267,399
"peak2159",39,28,43,73,123,258,40,30,44,67,106,287
"peak2160",204,206,101,29,24,20,236,163,90,39,26,22
"peak2161",251,233,180,76,55,24,330,177,156,73,51,32
"peak2162",235,180,157,82,122,75,149,147,132,89,115,108
"peak2163",318,314,272,257,425,289,307,263,252,266,327,265
"peak2164",306,234,140,61,49,24,214,218,142,85,52,31
"peak2165",199,165,186,105,138,43,159,125,126,135,130,63
"peak2166",289,207,107,60,62,17,276,146,81,67,36,35
"peak2167",652,623,386,189,185,100,561,433,293,211,160,65
"peak2168",316,274,208,75,20,21,272,201,149,68,26,22
"peak2169",194,171,128,81,61,21,192,170,130,75,77,21
"peak2170",935,646,380,100,40,45,715,506,309,168,49,46
"peak2171",150,109,58,29,28,20,87,61,24,24,18,8
"peak2172",7,8,8,11,27,43,4,7,13,16,18,54
"peak2173",242,172,116,58,77,45,141,106,91,72,71,40
"peak2174",276,259,141,99,115,22,306,205,158,108,108,16
"peak2175",202,129,111,31,13,10,160,109,72,43,13,15
"peak2176",81,83,71,47,62,97,75,47,58,46,76,84
"peak2177",168,92,55,20,31,36,142,89,57,19,15,47
"peak2178",262,169,92,36,19,22,165,151,93,24,18,20
"peak2179",106,65,59,35,37,31,105,58,42,49,36,19
"peak2180",176,202,295,303,450,263,149,165,195,316,407,217
"peak2181",538,514,302,75,46,16,554,349,231,68,33,29
"peak2182",1175,1258,1209,948,1201,849,1139,1039,959,863,1039,920
"peak2183",193,208,152,74,104,89,209,128,123,104,79,89
"peak2184",86,107,179,225,284,302,59,99,135,198,255,294
"peak2185",100,85,66,61,61,121,69,65,65,62,95,145
"peak2186",285,263,177,72,75,13,245,168,118,92,56,28
"peak2187",98,56,96,84,84,184,74,50,58,70,104,200
"peak2188",58,69,60,77,109,126,64,44,51,70,95,165
"peak2189",248,257,159,76,118,110,212,172,135,76,117,128
"peak2190",1757,1807,1901,1480,2190,1735,1523,1426,1469,1414,1932,1671
"peak2191",366,309,207,120,109,49,386,238,186,152,97,40
"peak2192",231,131,64,24,23,15,187,129,66,38,22,21
"peak2193",344,288,214,145,156,125,292,208,192,125,187,166
"peak2194",108,148,227,227,397,437,99,131,161,237,332,456
"peak2195",411,333,231,95,59,25,324,277,167,85,39,25
"peak2196",224,225,142,96,76,21,235,175,153,108,66,8
"peak2197",451,347,235,94,67,14,384,286,201,95,44,18
"peak2198",211,162,48,14,12,8,175,83,48,11,11,9
"peak2199",101,86,45,37,78,169,69,67,57,60,82,194
"peak2200",169,143,166,243,502,492,148,103,109,279,529,619
"peak2201",76,67,69,84,142,228,83,56,46,74,158,293
"peak2202",45,39,36,46,77,201,40,32,35,33,69,250
"peak2203",410,284,179,89,96,36,344,228,192,84,81,29
"peak2204",97,41,36,16,22,21,57,36,27,20,16,28
"peak2205",240,196,165,129,256,519,173,114,145,146,251,577
"peak2206",57,55,45,53,116,261,56,51,51,64,143,394
"peak2207",2096,1961,1376,854,604,222,2007,1647,1341,910,633,176
"peak2208",455,603,535,451,448,254,491,503,453,418,397,241
"peak2209",816,617,401,148,102,50,783,516,374,169,115,74
"peak2210",113,100,108,124,195,212,101,103,111,129,196,256
"peak2211",904,1002,1117,852,1012,714,813,826,852,873,906,716
"peak2212",156,69,34,16,31,7,84,55,46,35,41,19
"peak2213",690,790,685,480,384,74,712,703,595,487,317,53
"peak2214",260,194,116,36,49,11,194,137,114,64,57,19
"peak2215",404,438,521,407,598,443,450,423,445,461,573,443
"peak2216",449,300,164,61,51,83,444,192,136,87,49,82
"peak2217",134,114,71,15,7,5,85,52,48,14,14,13
"peak2218",121,73,34,17,20,25,132,90,34,13,23,15
"peak2219",159,96,48,11,9,6,130,91,33,27,7,10
"peak2220",17,43,48,58,63,120,21,37,49,46,83,139
"peak2221",156,156,138,125,253,333,168,148,119,162,247,392
"peak2222",447,362,269,101,98,41,379,351,243,131,88,61
"peak2223",208,189,106,57,35,13,242,118,103,41,24,16
"peak2224",37,45,44,52,98,105,45,26,46,42,109,115
"peak2225",399,292,113,14,14,14,360,161,98,19,12,17
"peak2226",132,77,60,24,32,8,119,54,52,52,21,13
"peak2227",51,38,51,60,65,124,27,32,43,75,92,138
"peak2228",1040,962,797,547,617,167,806,728,759,564,529,87
"peak2229",39,61,68,64,114,158,40,48,51,70,113,236
"peak2230",135,61,65,32,36,26,83,69,54,48,26,27
"peak2231",438,178,111,50,67,39,303,155,98,45,55,54
"peak2232",312,224,158,81,75,36,270,207,132,102,92,19
"peak2233",689,569,371,181,133,55,668,387,300,187,141,53
"peak2234",161,87,29,24,15,13,94,62,44,17,9,17
"peak2235",329,216,100,61,50,42,264,157,100,54,43,30
"peak2236",639,418,265,155,171,48,507,332,242,171,138,77
"peak2237",197,136,74,45,30,34,173,95,54,41,21,20
"peak2238",106,75,75,106,197,256,99,65,84,83,179,319
"peak2239",43,31,90,103,157,181,17,44,74,109,140,223
"peak2240",367,451,408,321,507,389,419,400,375,366,365,364
"peak2241",37,33,27,44,73,122,52,35,43,47,86,143
"peak2242",476,463,337,253,276,279,408,381,342,283,286,327
"peak2243",217,174,129,117,148,87,166,139,125,93,108,117
"peak2244",180,131,77,22,10,6,124,91,63,24,19,10
"peak2245",41,62,54,77,121,185,55,43,53,79,135,173
"peak2246",127,65,27,9,10,7,122,44,20,9,9,9
"peak2247",1620,1646,1389,1148,1375,858,1364,1248,1208,1107,1320,789
"peak2248",601,680,646,462,650,704,577,578,505,522,594,716
"peak2249",1201,1283,1194,901,1425,1172,1095,953,985,930,1304,1089
"peak2250",56,42,69,57,90,156,60,33,51,51,105,189
"peak2251",255,160,60,18,13,14,235,109,85,19,23,8
"peak2252",219,134,63,25,10,9,194,98,71,20,14,16
"peak2253",742,861,792,449,196,64,723,668,639,414,183,29
"peak2254",186,157,90,26,13,6,162,118,70,36,26,13
"peak2255",205,216,212,90,45,29,237,183,206,80,61,21
"peak2256",191,145,81,10,13,3,140,140,71,10,5,7
"peak2257",277,148,61,32,18,18,185,121,39,30,19,12
"peak2258",232,164,64,30,25,19,172,169,91,44,25,18
"peak2259",266,238,208,101,136,93,224,195,161,101,150,107
"peak2260",161,124,104,60,54,37,152,86,81,60,66,33
"peak2261",534,459,277,160,165,49,505,372,228,147,147,55
"peak2262",288,256,161,55,47,33,245,211,149,78,52,28
"peak2263",49,47,66,35,109,187,41,44,51,51,104,258
"peak2264",54,53,61,84,92,188,42,59,56,63,98,180
"peak2265",205,207,187,147,171,84,177,201,201,159,148,98
"peak2266",576,597,617,474,667,484,501,506,553,495,610,508
"peak2267",511,604,615,582,614,359,491,510,427,527,653,334
"peak2268",388,385,169,63,41,23,367,284,159,82,48,24
"peak2269",90,115,91,88,158,226,97,78,78,75,182,234
"peak2270",661,704,657,562,763,544,564,567,473,503,660,503
"peak2271",142,103,38,11,12,10,98,75,24,16,15,14
"peak2272",356,306,158,69,51,33,258,205,140,73,60,31
"peak2273",84,101,117,120,235,358,86,74,122,131,265,428
"peak2274",154,112,39,9,7,7,131,77,37,14,12,11
"peak2275",246,132,48,19,13,18,207,85,36,14,23,18
"peak2276",917,869,859,633,809,751,750,802,755,705,890,566
"peak2277",267,148,80,16,15,12,201,132,68,27,14,16
"peak2278",284,164,56,20,15,10,200,111,70,11,18,11
"peak2279",57,68,82,84,154,106,47,61,66,88,123,102
"peak2280",159,145,64,21,5,6,134,98,45,30,6,6
"peak2281",52,60,55,62,145,130,36,34,66,83,146,165
"peak2282",474,456,384,284,380,290,429,410,300,312,396,327
"peak2283",1013,1163,1129,749,611,165,1025,926,972,769,611,105
"peak2284",282,209,130,63,66,15,215,135,80,63,45,18
"peak2285",262,135,75,17,7,5,205,137,72,16,1,10
"peak2286",58,42,37,55,95,212,45,23,30,47,95,348
"peak2287",413,323,158,86,73,44,292,207,167,124,91,32
"peak2288",1298,870,546,219,111,23,946,755,462,259,127,28
"peak2289",116,77,57,30,34,33,109,87,34,31,24,39
"peak2290",152,166,150,75,45,22,98,125,109,81,56,19
"peak2291",138,72,26,11,12,16,115,84,28,17,14,6
"peak2292",338,432,219,124,85,30,353,307,198,129,95,42
"peak2293",271,274,234,113,98,31,190,247,222,148,93,42
"peak2294",65,90,82,69,145,200,53,52,74,98,119,221
"peak2295",43,41,95,108,195,209,42,69,75,115,157,229
"peak2296",539,681,694,540,890,803,514,562,615,614,785,757
"peak2297",552,566,357,167,123,45,505,430,312,196,149,62
"peak2298",6,8,14,35,103,154,12,19,20,19,68,155
"peak2299",169,121,67,37,39,13,169,101,73,61,23,16
"peak2300",101,52,45,20,33,15,97,33,36,34,24,19
"peak2301",237,201,149,60,81,61,224,162,126,102,80,29
"peak2302",84,79,34,64,132,135,93,71,48,39,112,121
"peak2303",139,82,45,17,14,12,142,68,43,21,11,27
"peak2304",165,143,112,66,61,22,174,124,82,55,51,20
"peak2305",107,88,36,16,17,14,110,55,35,18,7,13
"peak2306",462,372,195,51,10,20,386,269,168,51,22,34
"peak2307",384,269,158,75,56,23,289,208,143,95,44,42
"peak2308",643,424,203,129,114,56,492,259,183,100,114,29
"peak2309",111,74,37,23,30,18,80,54,42,23,16,23
"peak2310",155,122,21,15,7,24,154,75,58,23,20,12
"peak2311",1100,964,794,636,809,661,886,739,664,690,858,607
"peak2312",265,225,84,24,21,11,307,161,78,24,17,10
"peak2313",381,316,224,73,29,12,325,290,201,69,39,27
"peak2314",203,142,119,80,75,55,169,121,111,62,50,67
"peak2315",266,264,142,68,47,25,213,184,168,128,59,21
"peak2316",134,144,76,30,34,19,124,105,58,45,42,15
"peak2317",1260,1086,940,750,873,848,956,874,708,760,908,814
"peak2318",31,38,43,33,45,124,35,40,32,22,39,164
"peak2319",414,356,402,246,347,327,378,363,224,254,260,289
"peak2320",1857,1857,1773,1474,2154,2063,1605,1478,1538,1512,2183,1955
"peak2321",211,180,138,81,62,15,205,159,112,68,50,35
"peak2322",179,168,138,91,63,77,157,124,104,66,85,74
"peak2323",399,306,172,62,46,13,296,191,165,62,37,18
"peak2324",666,502,376,160,125,59,477,364,299,130,120,67
"peak2325",940,730,503,259,282,113,927,601,474,331,311,86
"peak2326",428,359,221,104,77,42,350,272,176,91,85,19
"peak2327",142,88,57,17,11,9,94,92,31,27,10,19
"peak2328",263,210,119,51,32,12,173,135,96,58,47,30
"peak2329",384,342,179,97,76,19,356,215,183,71,61,25
"peak2330",10,22,33,50,130,266,16,20,29,56,124,331
